         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   102912    0.633    0.000    2.131    0.000 plane.py:194(xyz_to_xy)
   254977    0.566    0.000    0.966    0.000 pointvector.py:109(dot)
   339590    0.437    0.000    0.776    0.000 pointvector.py:29(__init__)
    53268    0.426    0.000    0.750    0.000 intersection2d.py:10(intersect_line2d)
   377158    0.382    0.000    0.644    0.000 pointvector.py:25(__init__)
  1399049    0.377    0.000    0.377    0.000 pointvector.py:62(x)
    12288    0.370    0.000   11.993    0.001 pincam.py:533(ray_hit_polygon)
  1374473    0.369    0.000    0.369    0.000 pointvector.py:67(y)
  1349896    0.360    0.000    0.360    0.000 pointvector.py:72(z)
    53248    0.360    0.000    0.560    0.000 face.py:1904(_normal_from_3pts)
  1325354    0.358    0.000    0.358    0.000 pointvector.py:60(x)
  1325354    0.355    0.000    0.355    0.000 pointvector.py:65(y)
  1018770    0.339    0.000    0.339    0.000 pointvector.py:174(_cast_to_float)
    23680    0.272    0.000    0.452    0.000 polygon.py:250(area)
   102912    0.262    0.000    0.566    0.000 pointvector.py:402(__sub__)
   754316    0.262    0.000    0.262    0.000 pointvector.py:167(_cast_to_float)
   102912    0.249    0.000    1.266    0.000 line.py:31(from_end_points)
    11392    0.231    0.000    0.966    0.000 numeric.py:1421(cross)
   779181    0.208    0.000    0.209    0.000 {built-in method builtins.isinstance}
    24472    0.181    0.000    1.516    0.000 polygon.py:269(is_convex)
    68366    0.171    0.000    0.298    0.000 numeric.py:1277(normalize_axis_tuple)
   102912    0.160    0.000    0.268    0.000 pointvector.py:105(determinant)
    28672    0.158    0.000    0.258    0.000 mesh.py:581(_get_area)
    34183    0.157    0.000    0.546    0.000 numeric.py:1340(moveaxis)
   546652    0.146    0.000    0.146    0.000 _1d.py:51(v)
   102400    0.145    0.000    0.546    0.000 pointvector.py:52(from_array)
    23680    0.141    0.000    1.454    0.000 polygon.py:849(_segments_from_vertices)
  106/103    0.136    0.001    0.140    0.001 {built-in method _imp.create_dynamic}
    24577    0.130    0.000    1.019    0.000 plane.py:34(__init__)
    62414    0.130    0.000    0.130    0.000 {built-in method numpy.array}
    12288    0.129    0.000    0.245    0.000 plane.py:203(xy_to_xyz)
450707/437254    0.126    0.000    0.136    0.000 {built-in method builtins.len}
    24577    0.119    0.000    0.249    0.000 pointvector.py:113(cross)
    49153    0.116    0.000    0.456    0.000 pointvector.py:97(normalize)
   115096    0.114    0.000    0.173    0.000 _1d.py:22(__init__)
    12288    0.111    0.000    0.291    0.000 intersection3d.py:10(intersect_line3d_plane)
    49153    0.102    0.000    0.158    0.000 pointvector.py:327(__abs__)
    73728    0.101    0.000    0.160    0.000 pointvector.py:232(__getitem__)
   356992    0.098    0.000    0.098    0.000 plane.py:113(o)
